positionId	positionName	companyId	companyFullName	companyShortName	industryField	financeStage	companySize	salary	workYear	education
7338240	python开发工程师/GO开发工程师	493877	北京必示科技有限公司	必示科技	人工智能	A轮	50-150人	15k-30k	1-3年	本科
7428246	python开发工程师	126193	北京安信天行科技有限公司	安信天行	信息安全,移动互联网	上市公司	150-500人	12k-20k	5-10年	本科
7405632	python开发工程师	120364684	深圳爱嘉鑫实业有限公司	爱嘉鑫实业	软件开发	未融资	50-150人	10k-15k	3-5年	大专
7388805	python开发	460337	深圳市金证优智科技有限公司	金证优智	人工智能	A轮	50-150人	4k-6k	应届毕业生	本科
7230299	后端开发工程师（python)	35822	北京聚道科技有限公司	GeneDock	医疗丨健康,数据服务	B轮	15-50人	15k-30k	1-3年	本科
7368410	python开发工程师	185833	北京厨芯科技有限公司	厨芯科技	移动互联网,消费生活	A轮	150-500人	13k-17k	应届毕业生	本科
7398984	Python开发工程师	88	北京木瓜移动科技股份有限公司	木瓜移动	移动互联网	B轮	150-500人	20k-35k	1-3年	本科
6157211	python开发工程师	3038	北京国双科技有限公司	Gridsum 国双	数据服务,企业服务	上市公司	500-2000人	10k-20k	1-3年	本科
7081532	Python开发工程师	129	北京陌陌科技有限公司	陌陌	社交	上市公司	500-2000人	25k-40k	3-5年	本科
6756978	python开发工程师	5974	嘉实基金管理有限公司	嘉实基金	金融,人工智能	不需要融资	500-2000人	13k-19k	不限	本科
7522014	python工程师	70721	北京金堤科技有限公司	天眼查	数据服务	不需要融资	500-2000人	20k-30k	不限	本科
6375880	Python开发工程师	70721	北京金堤科技有限公司	天眼查	数据服务	不需要融资	500-2000人	15k-25k	3-5年	本科
7594687	python工程师	138751	新华互联电子商务有限责任公司	新华互联	电商,消费生活	未融资	50-150人	10k-20k	1-3年	本科
7700565	python后端工程师（AI方向）	518079	汉熵通信有限公司	汉熵通信有限公司	信息安全,物联网	不需要融资	50-150人	10k-20k	1-3年	本科
7700582	python开发工程师	113697	零氪信息技术（北京）有限公司	LinkDoc	医疗丨健康,数据服务	D轮及以上	500-2000人	13k-18k	1-3年	本科
7687133	python	67389	北京指南针科技发展股份有限公司	北京指南针	移动互联网,金融	上市公司	500-2000人	10k-18k	1-3年	本科
7585411	python工程师	113697	零氪信息技术（北京）有限公司	LinkDoc	医疗丨健康,数据服务	D轮及以上	500-2000人	13k-18k	1-3年	本科
7685274	高级后端开发工程师（go/c++/python)）	484985	拉勾猎头	拉勾猎头	移动互联网,企业服务	D轮及以上	500-2000人	20k-40k	3-5年	本科
7183784	高级python开发工程师	286568	北京音娱时光科技有限公司	音娱时光	移动互联网	B轮	50-150人	25k-45k	5-10年	本科
7354450	python开发工程师	21643	北京融七牛信息技术有限公司	融360	金融	上市公司	500-2000人	20k-30k	3-5年	本科
6458410	后端开发工程师（Python）	109217	志诺维思（北京）基因科技有限公司	志诺维思	医疗丨健康,数据服务	B轮	50-150人	12k-20k	1-3年	本科
5189420	Python培训讲师	68524	深圳点猫科技有限公司	编程猫	移动互联网,教育	C轮	2000人以上	8k-15k	3-5年	本科
7591959	python后端开发工程师	117426904	北京太初弈宪科技有限公司	太初弈宪	人工智能、软件开发	未融资	15-50人	15k-22k	1-3年	本科
